CustomerID,predicted_churn_probability,cluster_id,top_shap_features
8058-DMYRU,0.4421,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
4067-HLYQI,0.3029,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
6710-HSJRD,0.4816,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
3331-HQDTW,0.4121,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0979-PHULV,0.4454,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
5373-SFODM,0.5217,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0410-IPFTY,0.4096,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
2478-EEWWM,0.4045,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
2277-DJJDL,0.511,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
6946-LMSQS,0.3876,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0082-OQIQY,0.4566,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
9465-RWMXL,0.5423,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
8849-AYPTR,0.4982,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
9079-YEXQJ,0.3431,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0899-LIIBW,0.595,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0531-ZZJWQ,0.4567,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
2452-KDRRH,0.4009,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
2587-EKXTS,0.4506,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0524-IAVZO,0.6259,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0730-KOAVE,0.3482,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0363-QJVFX,0.3381,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
9508-ILZDG,0.4442,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
2522-AHJXR,0.3355,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
2665-NPTGL,0.6396,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
7733-UDMTP,0.3318,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
0431-APWVY,0.3446,0,Contract_Month-to-month (+0.2478); Tenure Months (-0.2391); Dependents_No (+0.2248)
